kernel_id,LOC,BLC,UDF,I,EH,NVD,NEC,S,P,OPRND,OPRATOR,UOPRND,UOPRATOR,ID,LOCom,EAP,CW,ALID,MeanLCC,ALLC,KLCID,CyC,MLID,NBD,AID,CC,MC,MeanWMC,MeanLMC,H1,H2,H3,MW,LMC,PT,PT_bin,LOC_bin,NVD_bin,bal_group
1816217,14,1,0.0,3,0.0,0.0,0.0,1.0,1.0,19,17,19.0,7,90.0,8.0,1.1352256243652734,77.0,3.5,7.0,21.964285714285715,4.95,1.0,11,6.214285714285714,89,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
186375,14,0,0.0,3,0.0,0.0,0.0,1.0,3.0,20,17,20.0,7,92.0,8.0,0.8912868869163727,77.0,5.0,14.0,47.57142857142857,9.2,1.0,12,6.428571428571429,92,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
14146037,47,0,5.0,3,0.0,0.0,0.0,2.0,33.0,58,18,53.0,10,111.0,2.0,0.9420507125670924,9.0,4.2,9.4,18.90952380952381,2.984444444444444,1.4,16,4.727272727272728,38,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
21575129,13,0,0.0,1,0.0,0.0,7.0,2.0,10.0,31,19,29.0,5,46.0,0.0,0.3445369856252699,0.0,6.2,1.3,24.4,2.85,1.0,16,4.0,18,10,13.0,22.0,2.4615384615384617,1.0,0.0,10.0,286.0,32.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
10154412,36,0,0.0,7,0.0,0.0,4.0,3.0,19.0,63,26,62.0,16,186.0,1.0,3.132644760435202,9.0,6.571428571428571,2.571428571428572,46.932653061224485,4.99404761904762,1.0,16,15.2,35,14,1.0,42.0,7.0,0.0,1.0,0.0,42.0,7.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
297010,29,0,0.0,6,0.0,0.0,0.0,7.0,36.0,68,38,60.0,10,123.0,7.0,1.6493193335308514,27.0,5.833333333333333,4.833333333333333,41.22272727272727,4.683333333333334,1.0,19,3.333333333333333,42,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
637469,33,0,0.0,2,0.0,0.0,0.0,2.0,6.0,40,23,39.0,12,137.0,10.0,0.007209978198807,76.0,7.25,4.125,44.71527777777778,4.995238095238095,1.0,20,9.88888888888889,31,8,9.0,90.33333333333331,8.222222222222221,2.0,1.0,2.0,813.0,74.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
8343812,42,1,1.0,3,0.0,0.0,3.0,2.0,24.0,90,47,75.0,19,132.0,0.0,0.8676121271490786,0.0,3.090909090909091,3.8181818181818175,24.42121212121212,3.704545454545455,1.181818181818182,14,6.0,36,11,16.0,31.25,5.0,7.0,0.0,0.0,500.0,80.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
24365074,53,0,0.0,6,0.0,0.0,2.0,6.0,47.0,141,82,128.0,26,287.0,9.0,1.848250468143892,109.0,5.461538461538462,4.076923076923077,40.86010558069381,5.272189349112425,1.1538461538461535,20,8.235294117647058,137,13,4.0,20.25,2.25,0.0,3.0,0.0,81.0,9.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
16185324,30,0,0.0,3,0.0,0.0,8.0,3.0,19.0,56,27,53.0,12,196.0,12.0,0.9420507125670924,124.0,7.090909090909091,2.727272727272727,49.11497326203209,5.003496503496503,1.181818181818182,16,8.235294117647058,137,11,7.0,8.571428571428571,1.0,7.0,0.0,0.0,60.0,7.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
