filename,processing_time_seconds
solution_P04.ipynb,1.01
solution_P06.ipynb,1.0
solution_P02.ipynb,1.0
solution_P19.ipynb,1.01
solution_P07.ipynb,1.0
solution_P05.ipynb,1.01
solution_P01.ipynb,1.01
solution_P18.ipynb,1.01
solution_P03.ipynb,1.01
solution_P16.ipynb,1.01
solution_P14.ipynb,1.01
solution_P09.ipynb,1.01
solution_P10.ipynb,1.01
solution_P12.ipynb,1.01
solution_P15.ipynb,1.01
solution_P17.ipynb,1.01
solution_P13.ipynb,1.01
solution_P08.ipynb,1.0
solution_P11.ipynb,1.01
