filename,processing_time_seconds
solution_P04.ipynb,82.39
solution_P06.ipynb,74.46
solution_P02.ipynb,88.72
solution_P19.ipynb,69.08
solution_P07.ipynb,78.5
solution_P05.ipynb,86.3
solution_P01.ipynb,148.2
solution_P18.ipynb,96.99
solution_P03.ipynb,74.69
solution_P16.ipynb,153.07
solution_P14.ipynb,131.07
solution_P09.ipynb,61.01
solution_P10.ipynb,69.52
solution_P12.ipynb,109.98
solution_P15.ipynb,84.98
solution_P17.ipynb,66.92
solution_P13.ipynb,122.91
solution_P08.ipynb,120.49
solution_P11.ipynb,55.86
