filename,processing_time_seconds
solution_P04.ipynb,6.03
solution_P06.ipynb,7.2
solution_P02.ipynb,5.29
solution_P19.ipynb,5.2
solution_P07.ipynb,6.37
solution_P05.ipynb,5.76
solution_P01.ipynb,7.26
solution_P18.ipynb,15.33
solution_P03.ipynb,6.9
solution_P16.ipynb,7.66
solution_P14.ipynb,7.2
solution_P09.ipynb,6.07
solution_P10.ipynb,5.39
solution_P12.ipynb,5.45
solution_P15.ipynb,5.76
solution_P17.ipynb,5.13
solution_P13.ipynb,5.35
solution_P08.ipynb,39.2
solution_P11.ipynb,4.53
